PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
1.67765e-09	1.3725e-09	1.034e-16	1.41916e-25	3.42178e-08	1.20261e-08	9.1163e-09	1.2103e-08	1.1474e-08	1.10976	0.7	0.984718	1.41176	97.5729	0.758042	0.241958	3.36948e-08
1.40187e-09	1.30548e-09	6.03169e-17	7.87425e-26	2.83469e-08	9.28262e-09	8.35435e-09	9.28262e-09	8.76344e-09	0.943271	0.6875	0.981552	1.07692	71.5651	0.9	0.1	2.7824e-08
3.33514e-09	2.37252e-09	2.15417e-16	5.11082e-25	6.18524e-08	2.3467e-08	1.20619e-08	2.36661e-08	1.65613e-08	0.707582	0.733333	0.967153	0.980392	177.863	0.513991	0.486009	5.98208e-08
2.16699e-09	1.77066e-09	1.20634e-16	2.13602e-25	4.00886e-08	1.17417e-08	1.17417e-08	1.31276e-08	1.23934e-08	0.943271	0.76	0.973911	1.07692	90	1	7.47069e-13	3.90427e-08
1.68013e-09	1.51735e-09	5.17002e-17	7.84474e-26	2.76347e-08	1.02005e-08	6.49434e-09	1.05838e-08	8.11337e-09	0.850732	0.833333	0.981077	1.2	161.778	0.636671	0.363329	2.71117e-08
1.89633e-09	1.62192e-09	1.37867e-16	2.23609e-25	8.18968e-08	3.0528e-08	8.16379e-09	3.06467e-08	1.32491e-08	0.258308	0.363636	0.913462	0.969697	21.7438	0.26742	0.73258	7.48096e-08
2.19081e-09	1.67758e-09	1.2925e-16	2.16828e-25	4.00886e-08	1.17417e-08	1.17417e-08	1.31276e-08	1.28284e-08	1.01065	0.84	1	1.07143	180	1	0	4.00886e-08
1.86001e-09	1.48549e-09	1.034e-16	1.53601e-25	4.00886e-08	1.20965e-08	1.08606e-08	1.31276e-08	1.1474e-08	0.808518	0.68	0.955464	1	77.8477	0.897832	0.102168	3.83032e-08
1.91106e-09	1.58624e-09	1.12017e-16	1.77685e-25	3.83691e-08	1.44077e-08	9.76436e-09	1.46771e-08	1.19426e-08	0.956161	0.708333	0.986371	1.18182	100.996	0.67772	0.32228	3.78462e-08
1.60355e-09	1.31843e-09	4.30835e-17	5.68026e-26	2.59151e-08	9.22379e-09	6.35232e-09	9.28262e-09	7.40646e-09	0.806145	0.75	0.979821	1.11111	11.9812	0.688688	0.311312	2.53922e-08
2.14555e-09	1.68012e-09	1.034e-16	1.73725e-25	4.00886e-08	1.30984e-08	1.19636e-08	1.31276e-08	1.1474e-08	0.808518	0.72	0.960867	0.96	22.7407	0.913369	0.0866308	3.85198e-08
1.17405e-09	1.23867e-09	4.30835e-17	5.3366e-26	2.24761e-08	8.80626e-09	5.87084e-09	8.80626e-09	7.40646e-09	1.07171	0.666667	1	1.25	90	0.666667	0.333333	2.24761e-08
1.69914e-09	1.54166e-09	1.034e-16	1.59408e-25	5.82048e-08	2.13512e-08	7.42126e-09	2.13702e-08	1.1474e-08	0.383543	0.46875	0.824818	1.09091	18.3605	0.34758	0.65242	4.80084e-08
1.10601e-09	1.08264e-09	2.58501e-17	2.79863e-26	2.17638e-08	9.13918e-09	3.75683e-09	9.28262e-09	5.73702e-09	0.685805	0.875	1	1.2	81.6504	0.411069	0.588931	2.17638e-08
2.00482e-09	1.50281e-09	1.20634e-16	1.81289e-25	4.00886e-08	1.18692e-08	1.17388e-08	1.31276e-08	1.23934e-08	0.943271	0.72	0.968508	1.12	91.2724	0.989016	0.0109836	3.88261e-08
1.34363e-09	1.3147e-09	5.17002e-17	6.79702e-26	2.59151e-08	8.80626e-09	5.87084e-09	9.28262e-09	8.11337e-09	0.967374	0.833333	1	1.2	90	0.666667	0.333333	2.59151e-08
1.5422e-09	1.42881e-09	6.03169e-17	8.61811e-26	3.00665e-08	1.05796e-08	8.092e-09	1.05838e-08	8.76344e-09	0.838463	0.75	0.982607	1	57.9332	0.764871	0.235129	2.95435e-08
1.2129e-09	1.18786e-09	1.72334e-17	2.04709e-26	2.17638e-08	9.23985e-09	3.51794e-09	9.28262e-09	4.68425e-09	0.457204	0.75	0.975972	1	12.9332	0.380736	0.619264	2.12409e-08
1.46266e-09	1.42381e-09	8.61669e-17	1.22686e-25	3.07787e-08	1.17417e-08	8.80626e-09	1.17417e-08	1.04743e-08	1.14301	0.6	1	1.42857	90	0.75	0.25	3.07787e-08
1.35091e-09	1.36862e-09	2.58501e-17	3.53789e-26	2.00443e-08	6.5638e-09	5.25104e-09	6.5638e-09	5.73702e-09	0.808518	0.666667	0.973911	1.2	63.4349	0.8	0.2	1.95214e-08
1.94941e-09	1.5522e-09	1.20634e-16	1.87248e-25	3.83691e-08	1.30685e-08	1.15127e-08	1.31276e-08	1.23934e-08	1.02971	0.72	0.986371	1.16667	147.995	0.880952	0.119048	3.78462e-08
1.48097e-09	1.35826e-09	3.44668e-17	4.68149e-26	2.59151e-08	9.06651e-09	6.14742e-09	9.28262e-09	6.62454e-09	0.644916	0.75	0.979821	0.888889	83.9526	0.678036	0.321964	2.53922e-08
2.82952e-08	1.42908e-08	3.79135e-15	5.41814e-23	2.36085e-07	7.54742e-08	6.3202e-08	7.70513e-08	6.94787e-08	0.854801	0.695385	0.950059	1.00686	144.8	0.837399	0.162601	2.24295e-07
1.67155e-09	1.43945e-09	2.58501e-17	3.72099e-26	2.00443e-08	9.28262e-09	3.71305e-09	9.28262e-09	5.73702e-09	0.808518	0.75	1	1.5	18.4349	0.4	0.6	2.00443e-08
1.8417e-09	1.53399e-09	7.75503e-17	1.18961e-25	3.35055e-08	1.24539e-08	1.03783e-08	1.24539e-08	9.9368e-09	0.868081	0.9375	1	1.05882	134.999	0.833335	0.166665	3.35055e-08
2.23111e-09	1.65828e-09	1.2925e-16	2.14334e-25	4.18081e-08	1.41114e-08	1.20161e-08	1.46771e-08	1.28284e-08	0.929223	0.8	0.974984	1.11111	110.91	0.851516	0.148484	4.07623e-08
1.47315e-09	1.37106e-09	2.58501e-17	3.5442e-26	2.00443e-08	9.28262e-09	3.71305e-09	9.28262e-09	5.73702e-09	0.808518	0.75	1	1.5	18.4349	0.4	0.6	2.00443e-08
2.2142e-09	1.62453e-09	8.61669e-17	1.39981e-25	3.42178e-08	1.19542e-08	9.03011e-09	1.2103e-08	1.04743e-08	0.924799	0.65	0.954153	1.17647	95.0403	0.755393	0.244607	3.2649e-08
1.70449e-09	1.54407e-09	8.61669e-17	1.33048e-25	3.42178e-08	1.07452e-08	1.04872e-08	1.2103e-08	1.04743e-08	0.924799	0.7	0.969435	1.11111	41.4375	0.975994	0.0240063	3.31719e-08
2.6248e-09	2.04998e-09	1.89567e-16	3.88609e-25	5.01108e-08	1.70753e-08	1.44101e-08	1.71163e-08	1.55359e-08	0.948661	0.75	0.986944	1.12821	117	0.843911	0.156089	4.94565e-08
1.93632e-09	1.47855e-09	6.89336e-17	1.01922e-25	3.00665e-08	1.02746e-08	9.27996e-09	1.05838e-08	9.36851e-09	0.958244	0.75	0.982607	1.14286	109.805	0.903198	0.0968018	2.95435e-08
1.31878e-09	1.32634e-09	7.75503e-17	1.02858e-25	3.1786e-08	1.24539e-08	8.30262e-09	1.24539e-08	9.9368e-09	0.964543	0.8125	1	1.28571	135	0.666667	0.333333	3.1786e-08
1.80531e-09	1.36988e-09	9.47836e-17	1.29842e-25	3.42178e-08	1.20645e-08	9.16902e-09	1.2103e-08	1.09855e-08	1.01728	0.75	0.984718	1.15789	80.5377	0.76	0.24	3.36948e-08
2.44635e-09	1.74649e-09	1.55101e-16	2.70881e-25	4.59595e-08	1.46771e-08	1.17417e-08	1.58077e-08	1.40528e-08	0.922727	0.8	0.977244	1.05882	90	0.8	0.2	4.49136e-08
