PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
1.26476e-09	1.28324e-09	1.53186e-17	1.96574e-26	1.72768e-08	3.91389e-09	3.91389e-09	5.53508e-09	4.41636e-09	0.644916	0.888889	0.906164	1	90	1	0	1.56556e-08
5.99952e-10	1.62863e-09	6.89336e-17	1.12268e-25	8.01772e-08	2.16034e-08	4.6962e-09	2.16152e-08	9.36851e-09	0.134753	0.722222	0.601658	1.09091	176.699	0.217383	0.782617	4.82393e-08
1.89386e-09	1.70816e-09	3.82964e-17	6.54165e-26	2.90184e-08	1.2217e-08	5.11723e-09	1.23768e-08	6.98287e-09	0.571505	0.809524	0.975972	1	170.783	0.418861	0.581139	2.83212e-08
1.57546e-09	1.68226e-09	8.04225e-17	1.35292e-25	3.45535e-08	1.188e-08	8.58454e-09	1.19036e-08	1.01191e-08	0.846452	0.742857	0.977288	1.13514	174.153	0.722607	0.277393	3.37688e-08
1.52615e-09	1.1842e-09	7.65928e-18	9.07014e-27	1.45092e-08	6.09279e-09	2.50455e-09	6.18841e-09	3.12284e-09	0.457204	0.875	1	0.8	171.65	0.411069	0.588931	1.45092e-08
2.06557e-09	1.51754e-09	7.65928e-17	1.16233e-25	3.77959e-08	1.21471e-08	8.51687e-09	1.23768e-08	9.87527e-09	0.673765	0.571429	0.924803	1.08108	150.508	0.701146	0.298854	3.49538e-08
1.6945e-09	1.40515e-09	3.44668e-17	4.8431e-26	2.39582e-08	9.97525e-09	4.52543e-09	9.97851e-09	6.62454e-09	0.754575	0.777778	0.985449	1.125	9.8443	0.453666	0.546334	2.36096e-08
1.91254e-09	1.56803e-09	1.0723e-16	1.6814e-25	4.51489e-08	1.64748e-08	1.05328e-08	1.68343e-08	1.16846e-08	0.661047	0.770833	0.929041	0.965517	23.6756	0.639331	0.360669	4.19452e-08
1.63722e-09	1.41222e-09	1.91482e-17	2.70414e-26	2.2337e-08	9.93603e-09	2.56199e-09	9.97851e-09	4.93764e-09	0.482267	0.833333	0.984393	1.25	173.979	0.257848	0.742152	2.19884e-08
2.82905e-09	2.31292e-09	1.57015e-16	3.63165e-25	4.95376e-08	1.68339e-08	1.41072e-08	1.68343e-08	1.41392e-08	0.804048	0.78125	0.941699	0.987952	144.85	0.838021	0.161979	4.66495e-08
2.55411e-09	1.96598e-09	1.57015e-16	3.08688e-25	5.66939e-08	1.93723e-08	1.21776e-08	1.95695e-08	1.41392e-08	0.613875	0.597403	0.901139	1.07895	171.859	0.628609	0.371391	5.10891e-08
2.21622e-09	1.57505e-09	1.79993e-16	2.83499e-25	5.39263e-08	2.00127e-08	1.11247e-08	2.0148e-08	1.51385e-08	0.777794	0.625	0.921589	1.10588	144.302	0.555881	0.444119	4.96979e-08
1.65493e-09	1.6071e-09	1.95312e-16	3.13886e-25	6.45216e-08	2.35606e-08	1.08845e-08	2.38073e-08	1.57695e-08	0.589559	0.604396	0.903914	0.971429	5.83816	0.461981	0.538019	5.8322e-08
4.89668e-10	1.81326e-09	2.29779e-16	4.16648e-25	9.8639e-08	2.76638e-08	1.38319e-08	2.78134e-08	1.71045e-08	0.296771	0.479167	0.772706	0.810811	46.6598	0.5	0.5	7.6219e-08
2.01721e-09	1.69011e-09	1.26378e-16	2.13593e-25	5.23051e-08	1.99418e-08	8.96439e-09	1.9957e-08	1.2685e-08	0.580488	0.763636	0.916341	0.985075	170.926	0.449527	0.550473	4.79294e-08
6.74767e-09	4.19909e-09	5.24661e-16	2.2031e-24	9.46865e-08	3.30361e-08	2.18734e-08	3.34403e-08	2.58461e-08	0.735382	0.730392	0.918179	0.985612	168.362	0.662106	0.337894	8.69391e-08
2.87976e-09	2.03187e-09	2.1829e-16	4.43535e-25	6.10826e-08	1.68436e-08	1.56535e-08	1.96671e-08	1.66714e-08	0.735204	0.563636	0.925068	1.03636	132.347	0.929341	0.0706587	5.65055e-08
1.52565e-09	1.40281e-09	4.59557e-17	6.44671e-26	2.83469e-08	8.83617e-09	6.19394e-09	9.78474e-09	7.64935e-09	0.718683	0.64	0.905914	1.04348	117.693	0.700975	0.299025	2.56799e-08
1.22701e-09	1.3837e-09	7.27632e-17	1.00683e-25	3.34072e-08	1.14101e-08	9.74369e-09	1.14109e-08	9.62523e-09	0.819298	0.766667	0.926278	1.11765	31.6197	0.853951	0.146049	3.09443e-08
2.49015e-09	2.00121e-09	1.34037e-16	2.68237e-25	4.40025e-08	1.52567e-08	1.24654e-08	1.57774e-08	1.30638e-08	0.869924	0.75	0.969668	1.04478	135.494	0.817044	0.182956	4.26678e-08
