PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
2.76995e-09	2.10632e-09	6.51422e-17	1.37211e-25	3.21299e-08	1.24259e-08	5.53741e-09	1.28221e-08	9.10723e-09	0.792965	0.84375	0.990235	1.16667	178.335	0.445634	0.554366	3.18161e-08
1.68364e-09	1.29223e-09	3.72241e-17	4.81022e-26	2.6544e-08	1.02664e-08	6.33324e-09	1.02698e-08	6.88442e-09	0.663901	0.6	0.959643	0.96	119.491	0.616891	0.383109	2.54727e-08
3.72617e-09	2.57621e-09	2.04733e-16	5.27434e-25	5.35153e-08	1.71653e-08	1.62134e-08	1.73463e-08	1.61454e-08	0.898342	0.74	0.955146	1.04762	164.323	0.944549	0.0554512	5.11149e-08
1.29401e-09	1.25445e-09	3.72241e-17	4.66959e-26	2.30215e-08	7.62506e-09	6.88985e-09	7.87656e-09	6.88442e-09	0.88261	0.64	0.967097	1.09091	102.047	0.90358	0.0964201	2.2264e-08
3.524e-09	2.20857e-09	1.95427e-16	4.31613e-25	5.05971e-08	1.66023e-08	1.56096e-08	1.67087e-08	1.57742e-08	0.959273	0.744444	0.964869	1.10526	145.696	0.940212	0.0597883	4.88196e-08
1.63964e-09	1.38712e-09	5.89382e-17	8.17543e-26	2.86074e-08	9.97094e-09	7.76951e-09	1.02698e-08	8.6627e-09	0.905003	0.866667	0.989032	1.05556	107.108	0.779215	0.220785	2.82936e-08
3.30297e-09	1.958e-09	1.86121e-16	3.64424e-25	5.10245e-08	1.65946e-08	1.48803e-08	1.66156e-08	1.5394e-08	0.898353	0.64	0.954111	1.07143	119.122	0.896696	0.103304	4.8683e-08
1.48497e-09	1.56381e-09	1.2408e-17	1.94039e-26	1.76125e-08	7.04501e-09	1.76125e-09	7.26183e-09	3.97472e-09	0.502655	1	1	1	180	0.25	0.75	1.76125e-08
2.21353e-09	1.68833e-09	1.05468e-16	1.78065e-25	3.71115e-08	1.23775e-08	1.10019e-08	1.27006e-08	1.15882e-08	0.962312	0.816327	0.974636	1.09677	128.648	0.888868	0.111132	3.61702e-08
9.4065e-09	5.9527e-09	3.25711e-15	1.93886e-23	2.72057e-07	9.30112e-08	5.71779e-08	9.3363e-08	6.43978e-08	0.552996	0.51354	0.883887	0.876827	130.764	0.614742	0.385258	2.40468e-07
4.24526e-09	2.92175e-09	2.63671e-16	7.70382e-25	5.97056e-08	1.94344e-08	1.77529e-08	2.00814e-08	1.83226e-08	0.929485	0.881818	0.984235	1.03659	17.2989	0.913474	0.086526	5.87643e-08
1.38547e-09	1.31556e-09	4.96322e-17	6.5294e-26	2.6544e-08	8.81504e-09	7.05379e-09	9.48463e-09	7.94944e-09	0.885201	0.733333	0.976359	1.03226	179.857	0.8002	0.1998	2.59164e-08
2.43176e-09	1.67797e-09	9.30603e-17	1.56152e-25	3.71115e-08	1.2647e-08	1.02218e-08	1.28221e-08	1.08852e-08	0.849098	0.708333	0.943334	1.11111	154.574	0.808243	0.191757	3.50085e-08
1.37842e-09	1.28865e-09	3.72241e-17	4.7969e-26	2.30215e-08	8.96936e-09	5.55425e-09	8.98066e-09	6.88442e-09	0.88261	0.625	0.959113	1.2	165.815	0.619247	0.380753	2.20802e-08
