PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
8.26612e-09	5.83094e-09	2.54556e-16	1.4843e-24	6.53946e-08	2.67e-08	1.04602e-08	2.68216e-08	1.80031e-08	0.748014	0.805556	0.990937	1.17949	178.333	0.391766	0.608234	6.4802e-08
2.90863e-09	2.59298e-09	2.21353e-17	5.73964e-26	1.99609e-08	6.65362e-09	3.32681e-09	7.43897e-09	5.30882e-09	0.698132	1	1	1	180	0.5	0.5	1.99609e-08
3.31949e-09	2.85954e-09	5.53383e-17	1.58242e-25	2.93705e-08	1.19024e-08	7.43897e-09	1.1995e-08	8.39398e-09	0.806145	0.833333	1	1	116.565	0.625	0.375	2.93705e-08
6.63858e-09	5.01782e-09	2.76692e-16	1.38839e-24	6.1497e-08	2.07012e-08	1.78783e-08	2.10406e-08	1.87695e-08	0.919386	0.785714	0.990363	1.02041	171.87	0.863636	0.136364	6.09044e-08
3.5131e-09	3.03875e-09	7.74737e-17	2.35423e-25	3.60241e-08	1.33072e-08	6.65362e-09	1.37168e-08	9.93189e-09	0.7502	0.866667	1	1	90	0.5	0.5	3.60241e-08
3.6701e-09	3.02033e-09	6.6406e-17	2.00568e-25	3.13193e-08	1.13672e-08	8.15479e-09	1.1995e-08	9.19515e-09	0.850732	0.916667	1	1.09091	105.071	0.717398	0.282602	3.13193e-08
4.00855e-09	3.20826e-09	1.4388e-16	4.61604e-25	4.54338e-08	1.66269e-08	1.19909e-08	1.66341e-08	1.35349e-08	0.875895	0.72	0.973911	1.08333	125.187	0.721175	0.278825	4.42484e-08
2.77732e-09	2.69723e-09	2.21353e-17	5.97041e-26	1.99609e-08	6.65362e-09	3.32681e-09	7.43897e-09	5.30882e-09	0.698132	1	1	1	180	0.5	0.5	1.99609e-08
3.21945e-09	2.78166e-09	5.53383e-17	1.53933e-25	2.54729e-08	9.98043e-09	6.65362e-09	9.98043e-09	8.39398e-09	1.07171	0.666667	1	1.25	180	0.666667	0.333333	2.54729e-08
2.77493e-09	2.49686e-09	4.42707e-17	1.10537e-25	2.46657e-08	9.40964e-09	7.05724e-09	9.40964e-09	7.50781e-09	0.914407	0.888889	1	1.14286	135	0.750001	0.249999	2.46657e-08
4.53879e-09	3.41371e-09	1.32812e-16	4.53382e-25	4.3485e-08	1.47969e-08	1.19926e-08	1.48779e-08	1.30039e-08	0.88261	0.68	0.986371	1.09091	147.452	0.81048	0.18952	4.28923e-08
