PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
2.91741e-09	2.11817e-09	1.21744e-16	2.57875e-25	4.07289e-08	1.45848e-08	1.13739e-08	1.48779e-08	1.24503e-08	0.922258	0.85	1	1.04762	15.1716	0.779848	0.220152	4.07289e-08
3.65296e-09	3.05003e-09	5.53383e-17	1.68784e-25	3.60241e-08	1.66287e-08	3.49473e-09	1.66341e-08	8.39398e-09	0.535857	0.583333	0.960282	2	1.45542	0.210163	0.789837	3.45933e-08
8.2749e-09	5.51556e-09	2.76692e-16	1.52611e-24	7.00994e-08	3.00417e-08	1.06927e-08	3.01255e-08	1.87695e-08	0.707582	0.825	1	1.11111	177.936	0.35593	0.64407	7.00994e-08
1.84682e-09	1.47617e-09	4.42707e-17	6.5351e-26	2.66145e-08	6.65362e-09	6.65362e-09	9.40964e-09	7.50781e-09	0.785398	1	1	1	180	1	0	2.66145e-08
1.39969e-09	1.18054e-09	3.3203e-17	3.91974e-26	2.27169e-08	6.65362e-09	6.65362e-09	7.43897e-09	6.50195e-09	0.808518	0.777778	1	1	90	1	-2.22045e-16	2.27169e-08
1.71051e-09	1.68319e-09	8.85413e-17	1.49032e-25	3.21265e-08	9.98043e-09	9.98043e-09	1.05203e-08	1.06176e-08	1.07802	0.75	1	1.14286	90	1	0	3.21265e-08
1.39162e-09	1.32804e-09	5.53383e-17	7.34916e-26	2.54729e-08	9.80035e-09	6.53356e-09	9.98043e-09	8.39398e-09	1.07171	0.583333	0.976734	1.42857	10.9007	0.666667	0.333333	2.48802e-08
1.99256e-09	1.53839e-09	4.42707e-17	6.81053e-26	2.66145e-08	6.65362e-09	6.65362e-09	9.40964e-09	7.50781e-09	0.785398	1	1	1	180	1	0	2.66145e-08
3.31486e-09	2.31766e-09	1.32812e-16	3.07813e-25	4.3485e-08	1.48749e-08	1.34476e-08	1.48779e-08	1.30039e-08	0.88261	0.72	0.986371	1	154.594	0.904046	0.0959544	4.28923e-08
1.50655e-09	1.2633e-09	3.3203e-17	4.19454e-26	2.27169e-08	7.43897e-09	5.95118e-09	7.43897e-09	6.50195e-09	0.808518	0.666667	0.973911	1.2	26.5651	0.8	0.2	2.21242e-08
6.54117e-09	4.17671e-09	3.98436e-16	1.66415e-24	7.48043e-08	2.4179e-08	2.05322e-08	2.53362e-08	2.25234e-08	0.894779	0.803571	0.976232	1.01408	174.185	0.849178	0.150822	7.30263e-08
1.69721e-09	1.43241e-09	5.53383e-17	7.9267e-26	2.54729e-08	9.98043e-09	6.65362e-09	9.98043e-09	8.39398e-09	1.07171	0.666667	1	1.25	90	0.666667	0.333333	2.54729e-08
3.30099e-09	2.45312e-09	2.21353e-16	5.43005e-25	5.67922e-08	1.91847e-08	1.66439e-08	1.93985e-08	1.6788e-08	0.862419	0.722222	0.958258	1.02564	112.449	0.867563	0.132437	5.44216e-08
3.67888e-09	2.342e-09	1.66015e-16	3.88807e-25	4.73826e-08	1.64669e-08	1.41145e-08	1.66341e-08	1.45388e-08	0.929223	0.88	1	1.03448	134.999	0.857146	0.142854	4.73826e-08
3.07691e-09	1.99888e-09	1.4388e-16	2.87598e-25	4.54338e-08	1.65414e-08	1.20104e-08	1.66341e-08	1.35349e-08	0.875895	0.8	1	1	137.08	0.726083	0.273917	4.54338e-08
1.51212e-09	1.23217e-09	2.21353e-17	2.72745e-26	1.99609e-08	6.65362e-09	3.32681e-09	7.43897e-09	5.30882e-09	0.698132	1	1	1	90	0.5	0.5	1.99609e-08
4.01733e-09	2.77904e-09	2.43489e-16	6.76666e-25	5.67922e-08	1.93975e-08	1.65624e-08	1.93985e-08	1.76074e-08	0.948661	0.777778	0.979129	1.07317	148.449	0.853846	0.146154	5.56069e-08
2.32794e-09	1.66302e-09	1.21744e-16	2.02463e-25	3.87801e-08	1.36731e-08	1.03916e-08	1.37168e-08	1.24503e-08	1.01728	0.75	0.984718	1.15789	80.5377	0.76	0.24	3.81875e-08
2.1997e-09	1.7697e-09	3.3203e-17	5.87593e-26	2.27169e-08	9.98043e-09	3.32681e-09	9.98043e-09	6.50195e-09	0.808518	0.75	1	1.5	180	0.333333	0.666667	2.27169e-08
2.20755e-09	1.76421e-09	6.6406e-17	1.17154e-25	3.40753e-08	1.19658e-08	9.93182e-09	1.1995e-08	9.19515e-09	0.718683	0.6875	0.965215	0.923077	142.31	0.830019	0.169981	3.289e-08
1.80487e-09	1.52578e-09	6.6406e-17	1.01321e-25	2.74217e-08	1.05147e-08	7.39456e-09	1.05203e-08	9.19515e-09	1.10976	0.75	1	1.33333	20.3006	0.703257	0.296743	2.74217e-08
3.4913e-09	2.1859e-09	1.4388e-16	3.14507e-25	4.73826e-08	1.59929e-08	1.36182e-08	1.66341e-08	1.35349e-08	0.805327	0.8	0.974984	0.962963	69.0899	0.851516	0.148484	4.61972e-08
2.78371e-09	2.02231e-09	1.66015e-16	3.35734e-25	4.54338e-08	1.65414e-08	1.20104e-08	1.66341e-08	1.45388e-08	1.01065	0.8	1	1.15385	137.08	0.726083	0.273917	4.54338e-08
1.67947e-09	1.36236e-09	3.3203e-17	4.52344e-26	2.27169e-08	9.40964e-09	4.70482e-09	9.40964e-09	6.50195e-09	0.808518	0.777778	1	1	135	0.5	0.5	2.27169e-08
2.60818e-09	1.91742e-09	2.21353e-17	4.24427e-26	2.46657e-08	1.03577e-08	4.25774e-09	1.05203e-08	5.30882e-09	0.457204	0.875	1	0.8	171.65	0.411069	0.588931	2.46657e-08
4.54756e-09	2.89624e-09	1.8815e-16	5.44929e-25	5.20874e-08	1.92925e-08	1.48722e-08	1.93985e-08	1.54777e-08	0.871465	0.833333	1	1	155.028	0.770879	0.229121	5.20874e-08
2.45038e-09		0	0	3.32681e-08	1.66341e-08	3.05563e-24	1.66341e-08	0	0	1	1		180	1.83697e-16	1	3.32681e-08
3.20231e-09	2.19014e-09	1.8815e-16	4.12075e-25	5.20874e-08	1.65498e-08	1.65498e-08	1.69635e-08	1.54777e-08	0.871465	0.766667	0.965866	1.0303	148.901	1	-3.00515e-09	5.03094e-08
2.50575e-09	2.04406e-09	1.32812e-16	2.71476e-25	4.73826e-08	1.62181e-08	1.48634e-08	1.66341e-08	1.30039e-08	0.743379	0.76	0.969803	0.923077	114.029	0.91647	0.0835298	4.59518e-08
1.70687e-09	1.34292e-09	3.3203e-17	4.4589e-26	2.27169e-08	6.65362e-09	6.65362e-09	7.43897e-09	6.50195e-09	0.808518	0.777778	1	1	90	1	-2.22045e-16	2.27169e-08
3.96173e-09	2.75542e-09	1.54947e-16	4.26945e-25	4.54338e-08	1.67485e-08	1.02263e-08	1.69635e-08	1.40458e-08	0.943271	0.708333	0.986956	1.33333	92.1797	0.610577	0.389423	4.48411e-08
1.61433e-09	1.37635e-09	4.42707e-17	6.09321e-26	2.27169e-08	6.65362e-09	6.65362e-09	7.43897e-09	7.50781e-09	1.07802	0.777778	1	1.33333	1.27629e-09	1	0	2.27169e-08
3.47686e-09	2.28822e-09	2.32421e-16	5.3183e-25	5.28946e-08	1.64213e-08	1.62744e-08	1.69635e-08	1.72025e-08	1.04391	0.666667	0.977591	1.2	117.697	0.99105	0.00895042	5.17093e-08
2.27576e-09	1.82569e-09	7.74737e-17	1.41443e-25	3.21265e-08	1.05203e-08	9.46827e-09	1.05203e-08	9.93189e-09	0.943271	0.6875	0.981552	1.07692	161.565	0.9	0.1	3.15339e-08
2.93184e-09	1.89985e-09	1.32812e-16	2.52323e-25	4.3485e-08	1.48749e-08	1.34476e-08	1.48779e-08	1.30039e-08	0.88261	0.72	0.986371	1	115.406	0.904046	0.0959544	4.28923e-08
3.22095e-09	2.29713e-09	1.66015e-16	3.81358e-25	4.73826e-08	1.59929e-08	1.36182e-08	1.66341e-08	1.45388e-08	0.929223	0.8	0.974984	1.11111	159.09	0.851516	0.148484	4.61972e-08
1.77042e-09	1.46763e-09	3.3203e-17	4.87299e-26	2.66145e-08	9.98043e-09	3.32681e-09	1.05203e-08	6.50195e-09	0.589049	1	1	1	90	0.333333	0.666667	2.66145e-08
2.64024e-09	1.95876e-09	9.9609e-17	1.9511e-25	3.60241e-08	9.98043e-09	9.98043e-09	1.1995e-08	1.12617e-08	0.964543	0.875	1	1.125	180	1	0	3.60241e-08
3.30019e-09	2.12173e-09	1.4388e-16	3.05274e-25	4.54338e-08	1.48778e-08	1.34032e-08	1.48779e-08	1.35349e-08	0.875895	0.72	0.960867	1.04	63.6879	0.900883	0.099117	4.36558e-08
1.71108e-09	1.49764e-09	5.53383e-17	8.28769e-26	2.93705e-08	9.98043e-09	6.65362e-09	1.05203e-08	8.39398e-09	0.806145	0.833333	1	1	90	0.666667	0.333333	2.93705e-08
1.61501e-09	1.36016e-09	3.3203e-17	4.51615e-26	2.07681e-08	7.05723e-09	4.70482e-09	7.43897e-09	6.50195e-09	0.967374	0.666667	1	1.2	135	0.666667	0.333333	2.07681e-08
1.55567e-09	1.37979e-09	5.53383e-17	7.63554e-26	2.54729e-08	9.98043e-09	6.65362e-09	9.98043e-09	8.39398e-09	1.07171	0.666667	1	1.25	180	0.666667	0.333333	2.54729e-08
5.34121e-09	3.49963e-09	2.54556e-16	8.90853e-25	5.8741e-08	1.99609e-08	1.33072e-08	2.10406e-08	1.80031e-08	0.927067	0.771429	0.979821	1.21053	90	0.666667	0.333333	5.75557e-08
2.17503e-09	1.7124e-09	8.85413e-17	1.51618e-25	3.21265e-08	1.05203e-08	9.46827e-09	1.05203e-08	1.06176e-08	1.07802	0.6875	0.981552	1.23077	161.565	0.9	0.1	3.15339e-08
1.44994e-09	1.36566e-09	3.3203e-17	4.53439e-26	2.07681e-08	7.05723e-09	4.70482e-09	7.43897e-09	6.50195e-09	0.967374	0.666667	1	1.2	135	0.666667	0.333333	2.07681e-08
2.61034e-09	1.74958e-09	1.32812e-16	2.32365e-25	3.95874e-08	1.33902e-08	1.19024e-08	1.37168e-08	1.30039e-08	1.06496	0.56	0.985029	1.33333	63.4349	0.888889	0.111111	3.89947e-08
3.44571e-09	2.31804e-09	1.8815e-16	4.36139e-25	5.20874e-08	1.69568e-08	1.36345e-08	1.79154e-08	1.54777e-08	0.871465	0.8	0.988622	1.0303	177.027	0.804071	0.195929	5.14947e-08
3.82031e-09	2.54624e-09	2.43489e-16	6.19982e-25	5.48434e-08	1.75418e-08	1.66057e-08	1.79154e-08	1.76074e-08	1.01728	0.75	0.989194	1.12821	123.523	0.946634	0.0533663	5.42507e-08
5.2705e-09	3.35204e-09	3.43098e-16	1.15008e-24	7.28555e-08	2.42117e-08	1.79467e-08	2.53362e-08	2.09008e-08	0.812276	0.8125	0.945902	1.01639	6.06376	0.741242	0.258758	6.89141e-08
2.18526e-09	1.14048e-09	2.21353e-17	2.52449e-26	2.93705e-08	1.32696e-08	3.8172e-09	1.33072e-08	5.30882e-09	0.322458	0.7	0.979821	0.8	175.692	0.287664	0.712336	2.87778e-08
2.94412e-09	2.07025e-09	1.8815e-16	3.89517e-25	5.01386e-08	1.68492e-08	1.38033e-08	1.69635e-08	1.54777e-08	0.940526	0.733333	0.976359	1.09677	85.345	0.819229	0.180771	4.89533e-08
2.66536e-09	1.84625e-09	1.21744e-16	2.2477e-25	4.07289e-08	1.45848e-08	1.13739e-08	1.48779e-08	1.24503e-08	0.922258	0.85	1	1.04762	105.172	0.779848	0.220152	4.07289e-08
2.75813e-09	1.90899e-09	1.4388e-16	2.74664e-25	4.54338e-08	1.66773e-08	1.17397e-08	1.69635e-08	1.35349e-08	0.875895	0.708333	0.973911	1.18182	21.849	0.703935	0.296065	4.42484e-08
3.62181e-09	2.51384e-09	2.76692e-16	6.95559e-25	5.95482e-08	1.9562e-08	1.69634e-08	2.02362e-08	1.87695e-08	0.980547	0.666667	0.96602	1.16279	11.4736	0.867162	0.132838	5.75248e-08
1.98813e-09	1.55135e-09	5.53383e-17	8.58489e-26	2.93705e-08	9.98043e-09	6.65362e-09	1.05203e-08	8.39398e-09	0.806145	0.833333	1	1	1.70116e-09	0.666667	0.333333	2.93705e-08
