PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
2.76375e-09	2.56472e-09	1.86121e-17	4.77348e-26	2.01033e-08	7.57439e-09	4.43778e-09	7.87656e-09	4.86802e-09	0.578721	0.866667	0.984393	0.857143	169.357	0.585892	0.414108	1.97896e-08
3.71997e-09	3.11546e-09	1.17876e-16	3.67239e-25	3.96023e-08	1.26461e-08	1.19337e-08	1.28221e-08	1.22509e-08	0.944489	0.785714	0.974242	1.08571	151.62	0.943665	0.0563347	3.85822e-08
3.51781e-09	2.81724e-09	9.30603e-17	2.62173e-25	3.5048e-08	1.15315e-08	1.01654e-08	1.18148e-08	1.08852e-08	0.952022	0.734694	0.973143	1.07143	140.862	0.881535	0.118465	3.41068e-08
3.29677e-09	2.59643e-09	6.20402e-17	1.61083e-25	2.90347e-08	9.19483e-09	8.96185e-09	9.48463e-09	8.88775e-09	0.924798	0.694444	0.989194	1.14286	97.6012	0.974663	0.0253375	2.8721e-08
2.20734e-09	2.20686e-09	1.2408e-17	2.73828e-26	1.20266e-08	3.5225e-09	3.5225e-09	3.93828e-09	3.97472e-09	1.07802	0.777778	1	1.33333	180	1	-2.22045e-16	1.20266e-08
9.40031e-09	6.43528e-09	2.92209e-15	1.88045e-23	2.70421e-07	9.03986e-08	5.35148e-08	9.09052e-08	6.09961e-08	0.502138	0.494306	0.85695	0.875465	131.589	0.591988	0.408012	2.31737e-07
4.31646e-09	3.45054e-09	1.79917e-16	6.20809e-25	5.01698e-08	1.65181e-08	1.51343e-08	1.66156e-08	1.51353e-08	0.898249	0.839506	0.973182	1.03571	38.215	0.916225	0.083775	4.88243e-08
2.34277e-09	2.30038e-09	6.20402e-18	1.42716e-26	1.05675e-08	3.5225e-09	1.76125e-09	3.93828e-09	2.81055e-09	0.698132	1	1	1	180	0.5	0.5	1.05675e-08
3.89184e-09	2.94341e-09	1.36488e-16	4.01741e-25	4.39795e-08	1.41966e-08	1.29639e-08	1.41997e-08	1.31827e-08	0.88676	0.666667	0.936496	1.08642	81.674	0.913175	0.0868246	4.11866e-08
3.02779e-09	2.69635e-09	6.51422e-17	1.75646e-25	3.21299e-08	1.06286e-08	8.89718e-09	1.12775e-08	9.10723e-09	0.792965	0.805556	0.966659	0.976744	109.128	0.837098	0.162902	3.10587e-08
2.9755e-09	2.73382e-09	7.44482e-17	2.03528e-25	3.10982e-08	9.31033e-09	9.12623e-09	1.02698e-08	9.73604e-09	0.967374	0.805556	0.989911	1.17073	174	0.980226	0.0197742	3.07844e-08
3.28262e-09	2.8194e-09	1.2408e-16	3.49832e-25	4.10613e-08	1.4046e-08	1.17651e-08	1.41997e-08	1.25692e-08	0.924798	0.71875	0.970746	1.06667	111.307	0.837616	0.162384	3.98601e-08
3.08302e-09	2.62328e-09	6.51422e-17	1.70886e-25	2.90347e-08	9.34164e-09	8.61891e-09	9.48463e-09	9.10723e-09	0.971038	0.666667	0.963105	1.16667	101.84	0.922634	0.0773659	2.79635e-08
2.51322e-09	2.42562e-09	5.89382e-17	1.42962e-25	2.8003e-08	8.92288e-09	7.30652e-09	9.48463e-09	8.6627e-09	0.944489	0.611111	0.961746	1.15152	72.1871	0.818853	0.181147	2.69318e-08
3.46563e-09	2.87139e-09	9.61623e-17	2.7612e-25	3.5048e-08	1.12322e-08	1.00132e-08	1.18148e-08	1.10652e-08	0.983756	0.755102	0.982095	1.08772	133.798	0.891474	0.108526	3.44205e-08
3.08003e-09	2.71579e-09	1.02366e-16	2.78006e-25	3.60798e-08	1.09326e-08	1.0801e-08	1.18148e-08	1.14165e-08	0.988189	0.77551	0.979005	1.11864	94.2823	0.987971	0.0120295	3.53223e-08
3.11527e-09	2.81784e-09	7.44482e-17	2.09783e-25	3.10982e-08	1.02698e-08	9.66567e-09	1.02698e-08	9.73604e-09	0.967374	0.861111	0.989911	1.06667	120.964	0.941176	0.0588235	3.07844e-08
2.43696e-09	2.27431e-09	2.17141e-17	4.93846e-26	1.70082e-08	5.56957e-09	5.01261e-09	5.56957e-09	5.25806e-09	0.943271	0.6875	0.981552	1.07692	108.435	0.9	0.1	1.66944e-08
3.40807e-09	2.88986e-09	1.17876e-16	3.40646e-25	3.85705e-08	1.24416e-08	1.10314e-08	1.24539e-08	1.22509e-08	0.995693	0.75	0.967461	1.13433	84.4176	0.886652	0.113348	3.73155e-08
2.26942e-09	2.22268e-09	1.2408e-17	2.75791e-26	1.55491e-08	6.30125e-09	3.15062e-09	6.35029e-09	3.97472e-09	0.644916	0.75	0.979821	0.888889	116.565	0.5	0.5	1.52353e-08
2.96254e-09	2.4928e-09	2.79181e-17	6.95943e-26	2.50849e-08	1.06548e-08	3.83623e-09	1.07133e-08	5.96208e-09	0.557534	0.761905	0.974984	0.947368	3.47433	0.360047	0.639953	2.44574e-08
