PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
3.29169e-09	2.37674e-09	1.60184e-16	3.80716e-25	4.67185e-08	1.6349e-08	1.19337e-08	1.70659e-08	1.42812e-08	0.922258	0.75	0.970898	1.15789	170.101	0.729936	0.270064	4.53589e-08
1.61832e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.02176e-09	1.89031e-09	2.6212e-16	4.95488e-25	7.05407e-08	2.71029e-08	1.11711e-08	2.75179e-08	1.82686e-08	0.661958	0.52381	0.936621	1.05882	136.347	0.412171	0.587829	6.60699e-08
1.12359e-09		0	0	7.63209e-09	3.81605e-09	1.40247e-23	3.81605e-09	0	0	1	1		90	3.67518e-15	1	7.63209e-09
7.19018e-10		0	0	2.8293e-08	1.07934e-08	5.39671e-09	1.07934e-08	0	0	0.555556	0.920991	0	135	0.5	0.5	2.60576e-08
2.90365e-09	2.397e-09	1.01935e-16	2.44339e-25	3.90864e-08	1.56948e-08	8.84053e-09	1.5734e-08	1.13925e-08	0.838463	0.733333	1	1.27273	9.99155	0.563279	0.436721	3.90864e-08
1.28937e-09		0	0	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	0	0	0.75	1	0	135	0.5	0.5	1.30288e-08
1.52993e-09	1.52993e-09	1.45622e-17	2.22792e-26	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	4.30595e-09	1.07802	0.75	1	2	135	0.5	0.5	1.30288e-08
1.49904e-09		0	0	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	0	0	0.75	1	0	135	0.5	0.5	1.30288e-08
3.06721e-09	2.46313e-09	2.03871e-16	5.0216e-25	5.21152e-08	1.90802e-08	1.14481e-08	1.94581e-08	1.61114e-08	0.943271	0.833333	1	1.07692	180	0.6	0.4	5.21152e-08
3.00472e-09	2.26989e-09	1.74747e-16	3.96656e-25	4.67185e-08	1.70452e-08	1.35522e-08	1.70659e-08	1.49162e-08	1.0061	0.8	1	1.26316	156.255	0.795074	0.204926	4.67185e-08
2.33697e-09	2.02024e-09	8.73733e-17	1.76515e-25	3.59251e-08	1.30388e-08	9.35402e-09	1.3759e-08	1.05474e-08	0.850733	0.916667	1	1.09091	164.929	0.717398	0.282602	3.59251e-08
2.16263e-09	1.94194e-09	1.16498e-16	2.26232e-25	3.90864e-08	1.34918e-08	1.07934e-08	1.3759e-08	1.21791e-08	0.958244	0.8125	1	1.06667	135	0.8	0.2	3.90864e-08
2.0998e-09	1.98764e-09	1.01935e-16	2.02611e-25	3.90864e-08	1.34918e-08	1.07934e-08	1.3759e-08	1.13925e-08	0.838463	0.6875	0.965215	1.07692	135	0.8	0.2	3.77268e-08
